coreid,catalogNumber,identifier
03847843-0271-4857-9aa4-2aa596d6d664,4409411,https://api.naturemapr.org/api/sightings/4409411/images/1
b6163323-8c29-415e-8cf7-bf90a5b1405b,4409410,https://api.naturemapr.org/api/sightings/4409410/images/1
87d420a2-a243-4e85-9ff5-d97776272e03,4409409,https://api.naturemapr.org/api/sightings/4409409/images/1
3dbad108-365f-436d-8709-0a2d0e3a73ed,4409405,https://api.naturemapr.org/api/sightings/4409405/images/1
08586b2b-9ca9-46f4-a380-693023688619,4409446,https://api.naturemapr.org/api/sightings/4409446/images/1
28dd3181-5771-4888-b7a4-a83103d99506,4409440,https://api.naturemapr.org/api/sightings/4409440/images/1
11e9b42b-3c6c-49a6-aa63-d5889f06b357,4409205,https://api.naturemapr.org/api/sightings/4409205/images/1
7b7555fd-6183-4e37-9ae6-360e9acc3a08,4409206,https://api.naturemapr.org/api/sightings/4409206/images/1
5af94fd7-19d4-4004-8ec0-1f5500015b47,4409203,https://api.naturemapr.org/api/sightings/4409203/images/1
a8971b56-18f4-4254-8957-aa839d72e962,4409260,https://api.naturemapr.org/api/sightings/4409260/images/1
f973ef83-c944-4742-80ef-931001b55aea,4409162,https://api.naturemapr.org/api/sightings/4409162/images/1
8076eabd-c437-42e4-8ed0-593044cbbbd5,4409213,https://api.naturemapr.org/api/sightings/4409213/images/1
0fdb190c-06d7-462e-8b15-00eab4a7cb38,4409187,https://api.naturemapr.org/api/sightings/4409187/images/1
83cd0a21-c1a7-4856-8240-c254a243c4aa,4409185,https://api.naturemapr.org/api/sightings/4409185/images/1
a32f04f5-507a-43d5-a9e5-fce43488abc6,4409259,https://api.naturemapr.org/api/sightings/4409259/images/1
fed1e582-6bed-40ff-838f-5c8c7f02a8bc,4409258,https://api.naturemapr.org/api/sightings/4409258/images/1
c8e2c527-59c1-452c-962f-9170982a4436,4409256,https://api.naturemapr.org/api/sightings/4409256/images/1
bd1a9d7e-b26f-4517-8ea8-a328fc2edfbc,4409255,https://api.naturemapr.org/api/sightings/4409255/images/1
f97a3983-d03b-4b9f-b12b-eb3eb5f2be96,4409171,https://api.naturemapr.org/api/sightings/4409171/images/1
3a52e375-87c3-4fc5-a538-04c4de6fef3f,4409168,https://api.naturemapr.org/api/sightings/4409168/images/1
77baec9e-f40a-4ef3-85cc-72b88e7943b6,4409156,https://api.naturemapr.org/api/sightings/4409156/images/1
61ec288c-8b2a-4529-8193-a3e43bdb621c,4409217,https://api.naturemapr.org/api/sightings/4409217/images/1
f7996fbf-47c0-44ef-a807-b54cf961acf6,4409218,https://api.naturemapr.org/api/sightings/4409218/images/1
da7a4f49-f3ba-434e-b5ac-a45372c01201,4409210,https://api.naturemapr.org/api/sightings/4409210/images/1
