id,catalogNumber,naturemaprSurveyId,naturemaprSpeciesID,naturemaprProjectSpeciesId,naturemaprCategory1Id,naturemaprCategory2Id,naturemaprCategory3Id,naturemaprCategory1Title,naturemaprCategory2Title,naturemaprCategory3Title,scientificName,vernacularName,recordNumber,decimalLatitude,decimalLongitude,verbatimElevation,recordedBy,individualCount,occurrenceRemarks,imageCount,audio1,identifiedID,identifiedBy,dateIdentified,deviceName,deviceSpecification,deviceOperatingSystem,eventDate,eventTime,locality,stateProvince,basisOfRecord,dynamicProperties
03847843-0271-4857-9aa4-2aa596d6d664,4409411,0,https://canberra.naturemapr.org/species/4189,0,433,249,252,Insect,Moth (Lepidoptera),Geometer moth (Geometridae),Dichromodes estigmaria,Pale Grey Heath Moth,https://canberra.naturemapr.org/sightings/4409411,-35.254463,149.106774,0.0,tpreston,1,Moth 15-20mm in leaf litter.,3,,7041,ibaird,2021-11-22 04:13:53,samsung,SM-G781B,,2021-11-22,2:45:00,O'Connor,ACT,Human Observation,"{""catalogNumber"":4409411,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
b6163323-8c29-415e-8cf7-bf90a5b1405b,4409410,0,https://canberra.naturemapr.org/species/5530,0,1544,1553,0,Other Invertebrate,Flatworm (Platyhelminthes),,Fletchamia quinquelineata,Five-striped flatworm,https://canberra.naturemapr.org/sightings/4409410,-35.254178,149.10732,648.993,tpreston,1,,3,,23645,turb,2021-11-22 04:09:53,samsung,SM-G781B,,2021-11-22,2:43:00,O'Connor,ACT,Human Observation,"{""catalogNumber"":4409410,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
87d420a2-a243-4e85-9ff5-d97776272e03,4409409,0,https://canberra.naturemapr.org/species/1038,0,431,1,0,Plant,Other Shrub,,Arbutus unedo,Strawberry Tree,https://canberra.naturemapr.org/sightings/4409409,-35.254178,149.10732,0.0,tpreston,1,Shrub about 2m,3,,22727,Tapirlord,2021-11-22 03:53:06,samsung,SM-G781B,,2021-11-22,2:42:00,O'Connor,ACT,Human Observation,"{""catalogNumber"":4409409,""conservationLevelId"":3,""invasivenessLevelId"":1,""sensitivityLevelId"":1,""conservationLevel"":""Exotic"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Minor Weed or Pest""}"
3dbad108-365f-436d-8709-0a2d0e3a73ed,4409405,0,https://canberra.naturemapr.org/species/6751,0,431,50,0,Plant,Other Wildflower or Herb,,Hypericum gramineum,Small St Johns Wort,https://canberra.naturemapr.org/sightings/4409405,-35.254702,149.10867,0.0,tpreston,2,,3,,22727,Tapirlord,2021-11-22 03:52:43,samsung,SM-G781B,,2021-11-22,2:35:00,O'Connor,ACT,Human Observation,"{""catalogNumber"":4409405,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
08586b2b-9ca9-46f4-a380-693023688619,4409446,0,https://canberra.naturemapr.org/species/11620,0,434,65,401,Bird,Other Birds,Intermediate size,Rhipidura rufifrons,Rufous Fantail,https://canberra.naturemapr.org/sightings/4409446,-35.268793,149.18123,0.0,trevsci,1,,4,,18546,Liam.m,2021-11-22 06:32:27,SONY,ILCE-7RM3,,2021-11-22,1:12:00,Pialligo,ACT,Human Observation,"{""catalogNumber"":4409446,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
28dd3181-5771-4888-b7a4-a83103d99506,4409440,0,https://canberra.naturemapr.org/species/12207,0,431,48,0,Plant,Daisy,,Senecio sp.,,https://canberra.naturemapr.org/sightings/4409440,-35.297775,149.011353,635.726,JaneR,16 - 100,frequent in disturbed area beside ,2,,22727,Tapirlord,2021-11-22 05:27:54,Apple,iPhone 12 mini,,2021-11-22,0:07:00,MolongloValley,ACT,Human Observation,"{""catalogNumber"":4409440,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
11e9b42b-3c6c-49a6-aa63-d5889f06b357,4409205,0,https://canberra.naturemapr.org/species/8440,0,433,249,380,Insect,Moth (Lepidoptera),Case moth (Psychidae),Metura elongatus,Saunders' case moth,https://canberra.naturemapr.org/sightings/4409205,-35.303839687398984,149.10426669386572,513.219739151001,MMV,1,Phone-length cocoon hanging from Dianellla leaf,2,,7041,ibaird,2021-11-22 01:45:46,Apple,"iPhone9,3",14.7.1,2021-11-21,8:13:29,Yarralumla,ACT,Human Observation,"{""catalogNumber"":4409205,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
7b7555fd-6183-4e37-9ae6-360e9acc3a08,4409206,0,https://canberra.naturemapr.org/species/4490,0,431,50,0,Plant,Other Wildflower or Herb,,Drosera hookeri,"Grassland Sundew, Pale Sundew",https://canberra.naturemapr.org/sightings/4409206,-35.33472777777778,149.48582499999998,810.9718627929688,yellowboxwoodland,1 - 3,,2,,22727,Tapirlord,2021-11-21 09:50:12,Apple,"iPhone12,8",14.8,2021-11-21,6:41:41,Bungendore,NSW,Human Observation,"{""catalogNumber"":4409206,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
5af94fd7-19d4-4004-8ec0-1f5500015b47,4409203,0,https://canberra.naturemapr.org/species/5954,0,431,47,0,Plant,Pea,,Gompholobium huegelii,Pale Wedge Pea,https://canberra.naturemapr.org/sightings/4409203,-35.334900000000005,149.48446666666666,794.5635375976562,yellowboxwoodland,1 - 3,,1,,22727,Tapirlord,2021-11-21 09:49:23,Apple,"iPhone12,8",14.8,2021-11-21,6:32:50,Bungendore,NSW,Human Observation,"{""catalogNumber"":4409203,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
a8971b56-18f4-4254-8957-aa839d72e962,4409260,0,https://canberra.naturemapr.org/species/8295,0,433,249,252,Insect,Moth (Lepidoptera),Geometer moth (Geometridae),Melanodes anthracitaria,Black Geometrid,https://canberra.naturemapr.org/sightings/4409260,-35.389355,149.017275,594.09,HelenCross,1,,5,,7041,ibaird,2021-11-21 23:20:25,NIKON,COOLPIX P900,,2021-11-21,5:58:00,PaddysRiver,ACT,Human Observation,"{""catalogNumber"":4409260,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
